"행정구역(시군구)별",2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"포천시",18181,18538,18547,20065,18647,20543,16391,18199,17883,18315,20818,17903
"여주시",14642,14104,14162,13464,13429,13588,13171,13318,14113,12939,14527,13448
"양주군",0,0,0,0,0,0,0,0,0,0,0,0
"여주군",0,0,0,0,0,0,0,0,0,0,0,0
"화성군",0,0,0,0,0,0,0,0,0,0,0,0
"파주군",0,0,0,0,0,0,0,0,0,0,0,0
"광주군",0,0,0,0,0,0,0,0,0,0,0,0
"연천군",6135,5916,5361,5735,5093,5782,4840,5477,5231,5338,4992,5272
"포천군",0,0,0,0,0,0,0,0,0,0,0,0
"가평군",7570,6919,7449,6671,7438,7138,6886,7090,7288,6939,7508,6926
"양평군",17398,14108,17776,13602,15759,14362,15538,14316,16798,14358,17933,14592
"이천군",0,0,0,0,0,0,0,0,0,0,0,0
"용인군",0,0,0,0,0,0,0,0,0,0,0,0
"안성군",0,0,0,0,0,0,0,0,0,0,0,0
"김포군",0,0,0,0,0,0,0,0,0,0,0,0
"강원도",223484,221592,211653,209618,216398,220252,217626,215965,223354,217897,217103,210422
"춘천시",45937,43653,41251,41450,42479,42314,42958,42216,46268,44586,46551,43354
"원주시",57766,53491,51559,48472,54277,51668,61367,56401,59935,54774,56022,51820
"강릉시",30907,31404,29115,28575,32191,32583,31980,30787,31595,30983,31820,30668
"동해시",10520,11151,11004,11413,10856,12215,10516,11039,12978,12623,11364,11376
"태백시",6243,6591,4876,5876,4943,5836,4763,5600,4330,5282,3698,4712
"속초시",14468,14660,15200,14486,13225,13652,13034,12788,14860,13785,13586,12976
"삼척시",8483,9508,7933,8671,11330,11202,7491,8359,7153,8870,6665,7731
"홍천군",7196,7173,7357,6820,6802,6876,6667,7088,7368,6820,6970,7076
"횡성군",5024,4600,5168,4575,5420,4620,4925,4751,4832,4581,5140,4599
"영월군",4385,4316,4618,4282,4527,4603,3774,4077,3786,3971,3873,3930
"평창군",4130,4103,3972,3970,4025,4248,3794,4080,4031,4167,3934,4080
"정선군",3674,3963,3489,3769,3672,3888,3743,3949,3516,3669,3168,3515
"철원군",5072,5842,4951,5720,4929,5634,4916,5684,4372,5182,4172,5182
"화천군",4095,4877,4338,4594,3453,4383,3840,4016,3667,3679,3564,4056
"양구군",3242,3384,3204,3409,3022,3432,2813,3458,2821,3284,2583,3021
"인제군",4022,4647,4400,4618,4092,4540,4120,4568,4823,4789,5688,5080
"고성군",5011,4816,5540,5435,3501,5169,3096,3835,3171,3438,4637,3807
"양양군",3309,3413,3678,3483,3654,3389,3829,3269,3848,3414,3668,3439
"충청북도",202679,197668,197177,194915,218886,213737,211396,208831,229895,226441,214300,210838
"청주시",107867,108583,102507,104956,117835,117993,113338,112770,136888,132403,123377,119563
"충주시",29140,28650,27315,26946,33432,30741,33960,33182,29948,29887,29990,29510
"제천시",18831,18329,19162,18923,17841,18563,17669,17978,15958,17060,15905,16381
"청원군",0,0,0,0,0,0,0,0,0,0,0,0
"보은군",3234,3065,3182,3081,3015,3094,2651,3024,2943,3051,2931,2941
"옥천군",4111,4004,4072,4212,4300,4220,3891,3905,4099,4174,4553,4266
"영동군",5945,5718,5390,5397,5069,5296,4650,5188,4518,5326,3882,4839
"증평군",4156,3694,3988,3669,3575,4114,4045,4007,4062,4567,4004,4251
"진천군",9288,7416,11500,7795,13833,9330,12001,9226,12291,9705,11098,9430
"괴산군",5156,4608,5283,4804,5126,4612,5515,5122,6360,5725,5541,6208
"음성군",12210,10825,12022,12375,11759,12961,11162,11674,10555,11930,10680,10812
"단양군",2741,2776,2756,2757,3101,2813,2514,2755,2273,2613,2339,2637
"충청남도",286764,271446,288738,269337,292305,282221,258790,259584,287127,286386,282195,273673
"천안시",98101,89567,101505,90637,109261,97249,94096,90118,108656,103959,95328,95996
"공주시",12645,13578,13779,14753,15573,15939,12909,13472,12978,14252,12732,12966
"보령시",11899,12506,13960,14246,11228,11923,12027,12448,13571,13892,11667,12423
"아산시",45054,41920,50773,43800,41881,41645,39458,38636,45651,44441,52347,43463
"서산시",21886,21808,22034,21390,28616,26392,21743,21343,22595,21659,25581,24106
"논산시",13794,14506,13685,14080,12439,13812,13025,13820,12891,14277,12170,12911
"계룡시",8537,7891,9653,8462,7825,8152,7854,8646,8738,8893,8932,8376
"당진시",24725,23914,21117,20800,22306,22257,18286,19149,20823,21472,23478,22100
"금산군",5121,5085,4620,5009,4728,5011,4385,4909,4661,5024,4451,4612
"연기군",0,0,0,0,0,0,0,0,0,0,0,0
"논산군",0,0,0,0,0,0,0,0,0,0,0,0
"부여군",6021,6442,5555,6030,6296,6660,5297,5940,5341,6014,5055,5513
"서천군",4646,4991,4063,4382,4027,4737,3788,4371,4433,4821,4320,4626
"청양군",3517,2953,3544,3088,3550,3735,3111,3341,2954,3339,2894,2894
"홍성군",17436,11819,11696,9920,10738,10968,10037,10316,10504,10487,9991,10051
"예산군",6628,8330,6472,6876,7627,7225,6859,7098,7249,7697,7055,7310
"태안군",6754,6136,6282,5864,6210,6516,5915,5977,6082,6159,6194,6326
"당진군",0,0,0,0,0,0,0,0,0,0,0,0
"전라북도",248188,252607,232047,239253,243324,257097,228775,241523,249083,257577,223710,229511
"전주시",95810,98234,84966,88848,102608,101110,99640,96550,107423,104277,93521,92637
"군산시",39410,40705,33640,36171,38888,40958,33808,35805,40013,41781,35364,36211
"익산시",36918,38604,40104,40178,34325,40044,33063,38614,34814,39411,35018,37660
"정읍시",12448,12764,14599,15262,12017,12906,11938,12916,13017,14149,10662,11317
"남원시",9773,10131,8761,9222,9177,9467,8960,9667,10765,10952,8239,8779
"김제시",10559,10948,9815,10028,9276,10210,8562,9313,9078,9722,9426,9738
"완주군",12245,12112,11441,10880,11001,12328,9861,11773,11482,11729,10699,10490
"진안군",2599,2563,2832,2418,2580,2746,2436,2511,2565,2698,2304,2378
"무주군",2030,2102,2082,2027,2160,2122,2018,2050,2142,2134,2065,2059
"장수군",2518,2019,1851,2308,2660,2260,2012,2593,1914,2096,1738,1879
"임실군",4181,4052,4291,4088,4471,4341,3800,4695,2789,4133,2661,2911
"순창군",3988,4180,3425,3519,3328,3626,2736,3323,2913,3265,2469,3010
"고창군",8697,7720,8296,7874,5528,8494,4953,6031,5005,5451,4920,5300
"부안군",7012,6473,5944,6430,5305,6485,4988,5682,5163,5779,4624,5142
"전라남도",234132,237337,227504,230551,224384,232414,224483,233271,239016,248770,223619,228106
"목포시",37368,38373,32780,36115,33446,35300,30963,33170,35366,40621,31899,36039
"여수시",36031,37682,35194,37775,31725,34591,38548,38853,38167,40171,35389,37565
"순천시",37760,38409,37908,37379,37475,37502,38768,38815,42742,40029,35081,35219
"나주시",21938,15770,21128,15372,20981,17235,17743,16745,18111,16879,17445,15605
"여천시",0,0,0,0,0,0,0,0,0,0,0,0
"광양시",19376,18057,18764,19055,19421,19179,20669,20869,17189,22419,18956,20117
"담양군",5448,5073,5666,5361,5633,5734,5470,5513,5596,5543,5979,5529
"곡성군",2942,3000,3100,3090,2983,3205,2648,3098,2599,3077,2694,2802
"구례군",3336,3042,3531,3223,3489,3651,3051,3401,2893,3481,2742,2849
"여천군",0,0,0,0,0,0,0,0,0,0,0,0
"고흥군",5071,5256,5134,5130,5606,5749,5482,5596,5627,5827,5090,5234
"보성군",3802,4327,3699,4038,3848,4333,3212,4145,3562,4003,3221,3534
"화순군",6382,6631,6156,6474,6518,6929,5786,6679,6441,6267,6678,5988
"장흥군",3979,6471,4014,4212,3951,4445,3339,3796,3307,3791,2859,3593
"강진군",3270,4099,3143,3764,3233,3733,3073,3660,3262,3627,3037,3342
"해남군",5963,6960,5537,6815,5475,6778,5582,6668,5431,6422,5316,5991
"영암군",6167,7274,5688,6966,5592,6281,6355,6281,5772,6370,6158,6345
"무안군",10058,10181,10885,9881,9407,10023,8984,9570,17995,12658,17154,11661
"함평군",3258,3485,3682,3469,3370,3954,3065,3314,2811,3264,3017,3210
"영광군",5283,5716,4990,5593,5299,5730,5409,5609,4926,5593,4983,5641
"장성군",5692,5883,5894,5711,6113,6251,6574,6400,5698,6715,5720,6214
"완도군",4048,4231,3877,4108,4070,4400,3748,4233,4055,4427,3514,4196
"진도군",2676,2798,2720,2759,2630,2853,2368,2610,3846,3064,2709,3408
"신안군",4284,4619,4014,4261,4119,4558,3646,4246,3620,4522,3978,4024
"경상북도",315652,318803,311061,316642,309446,318671,306511,311082,317701,334679,317866,314529
"포항시",53166,57352,50957,54637,56813,60785,54676,57420,61001,64528,61243,58655
"경주시",28616,28591,28866,29827,30003,30124,29148,29685,29067,29929,30156,29946
"김천시",22286,20141,18514,17648,16107,17580,18310,17797,16981,17180,17010,16548
"안동시",20380,20734,21070,23288,20221,23681,17774,19326,21654,21983,18412,19110
"구미시",56007,58881,60601,60830,50569,52609,52378,55492,52183,56607,49357,53412
"영주시",15017,15169,11902,12254,11292,12383,10054,11119,10789,12056,11783,11964
"영천시",11446,11154,12270,11634,13391,11864,14290,13045,14212,14057,15631,14787
"상주시",10358,10267,10200,10288,10809,10690,12144,11046,10836,13440,11463,11866
