시점,행정구역(시군구)별,성별,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2021,담양군,계,45948,2474,2201.5,1634,1933.5,3687,3283.5,2934,4560.5,2590.5,1970,1349,490.5,106.5,24
2021,담양군,여자,22605,980.5,929.5,804,914,1826,1686,1742,3137.5,1689.5,1448,967.5,375,83,22.5
2021,곡성군,계,27619,1226.5,1046.5,744,905.5,2208,2145.5,2035.5,3780.5,2042.5,1738,1190.5,434,100.5,13
2021,곡성군,여자,14061.5,565.5,463,351,418,1093.5,1138.5,1243,2671.5,1366,1305.5,858.5,350.5,86,10.5
2021,구례군,계,25369,1073,854.5,675,912.5,2083.5,1929.5,1900,2988,1708.5,1279.5,879,327.5,59.5,13.5
2021,구례군,여자,13006.5,475,386,349,406,1086.5,1030,1183,2065.5,1124.5,941,624,255,49.5,12.5
2021,고흥군,계,63030,2309.5,1682.5,1523.5,1987,5971.5,6038.5,5340.5,8976,4918,4058,2750,1033.5,234,40.5
2021,고흥군,여자,32368.5,969,681.5,699.5,902.5,3061,3243.5,3192,6309,3273.5,3035.5,2002,798.5,200,35
2021,보성군,계,39667.5,1642,1213.5,1062.5,1332,3485.5,3358,3147,5580,3101.5,2478.5,1712.5,613,132,21
2021,보성군,여자,20294,712.5,514,485,627.5,1762,1781,1923.5,3905,2044.5,1860.5,1254.5,480,109,17
2021,화순군,계,62230.5,3734,3008.5,2140.5,2523.5,4093.5,3709,3618.5,5495,3159,2336,1650,547,124,15
2021,화순군,여자,31487,1711,1379,1026.5,1252,1997,1989,2269,3879,2136,1743,1209.5,420.5,99,14
2021,장흥군,계,36939.5,1649.5,1318,1181,1447,2932.5,2810.5,2568.5,4590,2477,2113,1459.5,528,114,11.5
2021,장흥군,여자,18967,713,579.5,571.5,661,1502.5,1534.5,1543.5,3247,1640.5,1606.5,1079,422.5,95.5,9.5
2021,강진군,계,33967,1543.5,1235.5,1040.5,1286,2716,2663.5,2464,4187.5,2387,1800.5,1234.5,485.5,72.5,8
2021,강진군,여자,17517,681.5,529.5,499,625,1382.5,1444.5,1466.5,2978.5,1596,1382.5,920.5,399,57.5,5.5
2021,해남군,계,67596.5,3042,2404.5,2096.5,2702,5448,5124.5,4778,6953,4072,2881,2015,701,142.5,22.5
2021,해남군,여자,34155,1294,1074,975.5,1283.5,2812.5,2704,2878,4907.5,2677.5,2230,1513.5,571,123,22.5
2021,영암군,계,52934,2815,2156,1878,2689.5,3559,3157,3034.5,4659,2659.5,1999.5,1440.5,455.5,94,9.5
2021,영암군,여자,25565.5,1185,886.5,885,1211,1793.5,1705,1851,3277.5,1787,1490.5,1037,370,75.5,8
2021,무안군,계,88307.5,4765.5,4377.5,4342,6334,4850,4225.5,3654.5,4954,2875.5,2078.5,1452.5,505,103,18
